address,lat,lon,offer_type,series,building_material,build_year,floor,total_floors,rooms,area_total,condition,usd_price,is_old
"Бишкек, 12 м-н",42.8133,74.6369,от агента,элитка,монолитный,2023.0,10.0,10.0,2,68.0,евроремонт,103000,0
"Бишкек, Академия МВД, Л.Толстого/Ч.Валиханова",42.8687,74.678,от агента,элитка,кирпичный,2024.0,2.0,12.0,3,63.3,под самоотделку (псо),60135,0
"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",42.8181,74.6031,от агента,элитка,монолитный,2021.0,6.0,14.0,3,106.0,под самоотделку (псо),110500,0
"Бишкек, Старый аэропорт",42.8396,74.5824,от агента,хрущевка,кирпичный,2022.0,2.0,5.0,1,31.0,хорошее,55500,0
"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",42.8181,74.6044,от агента,элитка,монолитный,2024.0,9.0,12.0,3,104.0,под самоотделку (псо),112000,0
"Бишкек, 8 м-н",42.8349,74.6105,от агента,элитка,кирпичный,2022.0,6.0,8.0,3,75.4,хорошее,97000,0
"Бишкек, Карла Маркса",42.8424,74.6227,от агента,хрущевка,кирпичный,2022.0,4.0,4.0,2,42.0,хорошее,65000,0
"Бишкек, Мадина,  ул. 7 апреля",42.8689,74.6377,от агента,элитка,монолитный,2022.0,11.0,17.0,1,44.0,евроремонт,67500,0
"Бишкек, Магистраль, Байтик Баатыра, 4Б",42.8191,74.6034,от агента,индивид. планировка,монолитный,2024.0,5.0,12.0,1,53.0,евроремонт,68000,0
"Бишкек, 110 квартал ж/м 139",42.8859,74.525,от собственника,104 серия,панельный,1992.0,3.0,4.0,2,43.0,евроремонт,65000,1
"Бишкек, Тунгуч м-н",42.8541,74.688,от агента,105 серия,кирпичный,1980.0,9.0,9.0,1,34.0,евроремонт,56500,1
"Бишкек, Джал 15 м-н",42.8445,74.5669,от агента,106 серия улучшенная,панельный,1992.0,9.0,9.0,3,100.0,евроремонт,112500,1
"Бишкек, Верхний Джал м-н, мкрн Верхний Джал 4/1-4/3",42.835,74.5668,от агента,105 серия,монолитный,2014.0,1.0,9.0,1,47.0,евроремонт,64500,0
"Бишкек, Джал 15 м-н, Джал-15 мкр, 32",42.8451,74.5647,от агента,индивид. планировка,кирпичный,2009.0,3.0,5.0,3,103.9,евроремонт,140000,0
"Бишкек, Джал-29 м-н, Масалиева 102",42.8292,74.5656,от собственника,элитка,кирпичный,2025.0,9.0,10.0,2,62.0,под самоотделку (псо),86800,0
"Бишкек, Лебединовка, Кольбаева 38",42.8767,74.6762,от агента,104 серия,панельный,1975.0,4.0,4.0,3,58.0,среднее,70000,1
"Бишкек, Военторг, Манасчы Сагынбая 168",42.8716,74.5945,от агента,элитка,монолитный,2025.0,7.0,16.0,3,103.0,евроремонт,198000,0
"Бишкек, Сквер Тоголок Молдо, боконбаева",42.8675,74.5909,от агента,элитка,панельный,1992.0,9.0,9.0,2,54.0,хорошее,95000,1
"Бишкек, Шлагбаум,  ул. Димитрова 2, 2 а",42.8723,74.5596,от собственника,104 серия улучшенная,кирпичный,2022.0,5.0,9.0,1,39.69,под самоотделку (псо),38499,0
"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",42.8181,74.6044,от агента,элитка,монолитный,2024.0,12.0,12.0,2,77.0,под самоотделку (псо),93000,0
"Бишкек, Горького - Алма-Атинская, 7 апреля 1а/1",42.8615,74.6336,от агента,элитка,монолитный,2026.0,7.0,12.0,3,83.0,не достроено,73040,0
"Бишкек, Горького - Алма-Атинская",42.8575,74.6414,от агента,108 серия,монолитный,2024.0,3.0,9.0,1,53.0,под самоотделку (псо),55000,0
"Бишкек, Мадина,  ул.Менделеева, д. 152",42.8689,74.6399,от собственника,элитка,монолитный,2025.0,3.0,10.0,2,59.0,под самоотделку (псо),72000,0
"Бишкек, Парк Ататюрк, Малдыбаева 145",42.8318,74.5965,от агента,элитка,монолитный,2022.0,3.0,5.0,3,118.0,под самоотделку (псо),235000,0
"Бишкек, Магистраль, Ч. Айтматова/Масалиева",42.8249,74.591,от агента,108 серия,монолитный,2022.0,7.0,9.0,5,118.0,евроремонт,178000,0
"Бишкек, Карпинка, Ахматбека Суюмбаева, 16",42.8721,74.6234,от агента,105 серия,панельный,1983.0,9.0,9.0,3,62.0,евроремонт,84500,1
"Бишкек, Мед. академия",42.8423,74.6038,от собственника,малосемейка,кирпичный,2022.0,2.0,5.0,1,18.0,евроремонт,28000,0
"Бишкек, АЮ Grand,  ул.Анкар  1/19",42.8565,74.6721,от собственника,элитка,кирпичный,2024.0,12.0,12.0,2,53.0,евроремонт,73500,0
"Бишкек, 8 м-н",42.8324,74.6097,от агента,104 серия,панельный,1992.0,2.0,4.0,2,44.0,хорошее,70500,1
"Бишкек, Ак Кеме, Джунусалиева/Ажыбек Баатыра",42.8398,74.583,от агента,элитка,монолитный,2024.0,15.0,16.0,3,136.0,под самоотделку (псо),155700,0
"Бишкек, Московская - Уметалиева, Боконбаева-Уметалиева 8",42.8674,74.5802,от агента,элитка,монолитный,2023.0,10.0,13.0,4,112.0,евроремонт,182500,0
"Бишкек, Асанбай м-н",42.8193,74.6233,от агента,элитка,кирпичный,2022.0,5.0,14.0,2,80.0,евроремонт,163000,0
"Бишкек, Верхний Джал м-н,",42.836,74.567,от агента,элитка,монолитный,2023.0,16.0,16.0,2,76.0,под самоотделку (псо),84000,0
"Бишкек, Нижний Токольдош, Восток-5 по ул. Кийизбаева 54",42.8695,74.6306,от агента,элитка,монолитный,2025.0,10.0,12.0,3,70.0,под самоотделку (псо),83500,0
"Бишкек, КНУ, К. Акиева/Жумабека",42.8833,74.5786,от агента,элитка,монолитный,2020.0,10.0,10.0,2,74.0,евроремонт,118000,0
"Бишкек, Средний Джал м-н, джал 23 12",42.8393,74.5662,от агента,106 серия улучшенная,панельный,1992.0,1.0,9.0,3,81.0,евроремонт,98000,1
"Бишкек, Арча-Бешик ж/м,  ул. Баха / Южная Магистраль",42.8291,74.5656,от агента,элитка,монолитный,2025.0,14.0,14.0,3,119.0,под самоотделку (псо),144000,0
"Бишкек, Джальская больница, Ахунбаева 186",42.8428,74.5765,от агента,элитка,монолитный,2016.0,9.0,10.0,3,87.0,евроремонт,138000,0
"Бишкек, 6 м-н",42.829,74.6307,от агента,106 серия улучшенная,панельный,1992.0,7.0,9.0,2,54.0,хорошее,83000,1
"Бишкек, Кок-Жар ж/м, Шабдан-Баатыра и Чар.",42.8508,74.6362,от агента,элитка,монолитный,2024.0,3.0,12.0,1,50.0,евроремонт,74500,0
"Бишкек, Кара-Жыгач ж/м, Кара-жыгач",42.8588,74.6584,от агента,элитка,кирпичный,2021.0,7.0,12.0,2,72.0,под самоотделку (псо),74000,0
"Бишкек, Магистраль, Советская/Южная Магистраль",42.8199,74.6047,от агента,элитка,кирпичный,2026.0,6.0,19.0,3,100.0,под самоотделку (псо),110000,0
"Бишкек, Золотой квадрат, Тыныстанова 94/Московской",42.8708,74.6084,от собственника,элитка,кирпичный,2017.0,11.0,12.0,2,62.6,евроремонт,145000,0
"Бишкек, Магистраль/Южная Магистраль",42.8161,74.6228,от агента,элитка,монолитный,2023.0,2.0,12.0,1,43.0,евроремонт,76000,0
"Бишкек, Боталиева - Тулебердиева, Манаса-Васильева",42.9025,74.5863,от агента,элитка,монолитный,2023.0,5.0,5.0,1,40.0,евроремонт,57000,0
"Бишкек, Ден Сяопина - Фучика",42.8815,74.561,от агента,элитка,монолитный,2023.0,6.0,12.0,1,46.25,не достроено,49000,0
"Бишкек, Политех",42.8426,74.584,от агента,хрущевка,кирпичный,2022.0,3.0,4.0,2,42.0,хорошее,66500,0
"Бишкек, ЖД вокзал, бул. Эркиндик 1",42.865,74.607,от агента,элитка,монолитный,2023.0,11.0,14.0,2,77.0,под самоотделку (псо),153500,0
"Бишкек, Московская - Белинка 9",42.8684,74.5846,от агента,элитка,кирпичный,2022.0,12.0,15.0,2,75.0,евроремонт,137000,0
"Бишкек, Парк Ататюрк, токтоналиева 6б",42.838,74.592,от агента,индивид. планировка,панельный,1992.0,1.0,4.0,3,70.0,евроремонт,115000,1
"Бишкек, Джальская больница, Поваринская 36/1",42.847,74.5677,от агента,элитка,монолитный,2019.0,2.0,14.0,1,50.0,хорошее,68900,0
"Бишкек, АЮ Grand,  ул. Анкара 1/31",42.8563,74.6886,от агента,элитка,монолитный,2024.0,7.0,12.0,1,39.0,под самоотделку (псо),48500,0
"Бишкек, Военторг, Тоголок Молдо/Токтогула",42.8726,74.596,от агента,элитка,монолитный,2021.0,11.0,14.0,2,102.0,евроремонт,188000,0
"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",42.8181,74.6044,от агента,элитка,монолитный,2024.0,12.0,14.0,1,46.0,под самоотделку (псо),62000,0
"Бишкек, Средний Джал м-н, Тыналиева, 1",42.8379,74.5679,от агента,индивид. планировка,монолитный,2018.0,8.0,13.0,3,74.0,евроремонт,109000,0
"Бишкек, Советская - Скрябина",42.8493,74.6146,от агента,индивид. планировка,кирпичный,2022.0,3.0,5.0,2,45.0,хорошее,74000,0
"Бишкек, с. Кок-Джар, Магистраль/Алматинка",42.8176,74.6495,от агента,элитка,монолитный,2026.0,12.0,12.0,2,68.0,под самоотделку (псо),55760,0
"Бишкек, Старый аэропорт, Джунусалиева, 184",42.8397,74.5803,от агента,индивид. планировка,монолитный,2024.0,16.0,16.0,3,140.0,евроремонт,201900,0
"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",42.8181,74.6031,от агента,элитка,монолитный,2025.0,2.0,12.0,3,117.0,евроремонт,155000,0
"Бишкек, БГУ",42.8484,74.5852,от агента,элитка,монолитный,2020.0,2.0,10.0,1,46.0,евроремонт,66000,0
"Бишкек, Магистраль, Ч. Айтматова/Масалиева",42.8281,74.5867,от агента,108 серия,монолитный,2022.0,1.0,9.0,1,48.0,евроремонт,80000,0
"Бишкек, Гагарина, Дагестанская 5",42.8491,74.5498,от агента,элитка,кирпичный,2025.0,3.0,9.0,1,40.0,евроремонт,58000,0
"Бишкек, Магистраль, Байтик Баатыра, 4Б",42.8191,74.6034,от агента,индивид. планировка,монолитный,2024.0,7.0,12.0,3,107.3,евроремонт,120000,0
"Бишкек, Золотой квадрат, Раззакова/Токтогула",42.8724,74.6047,от агента,элитка,монолитный,2019.0,9.0,9.0,6,457.0,евроремонт,685500,0
"Бишкек, Магистраль, пр. Ч. Айтматова",42.8236,74.5858,от агента,элитка,кирпичный,2022.0,11.0,14.0,3,86.0,евроремонт,172000,0
"Бишкек, 7 м-н, 7-й микрорайон, 38",42.8338,74.6198,от агента,индивид. планировка,монолитный,2005.0,10.0,10.0,3,102.4,евроремонт,126000,0
"Бишкек, Магистраль, Байтик-Баатыра/А. Токомбаева",42.8192,74.6031,от собственника,элитка,кирпичный,2024.0,8.0,14.0,3,131.0,евроремонт,235000,0
"Бишкек, Магистраль, просп. Айтматова / ул. Масалиева",42.8191,74.5857,от агента,элитка,кирпичный,2021.0,11.0,14.0,4,183.0,под самоотделку (псо),276330,0
"Бишкек, Джал-23 м-н (Нижний Джал)",42.843,74.5654,от агента,105 серия,панельный,1990.0,4.0,9.0,1,34.0,среднее,57000,1
"Бишкек, Горького - Алма-Атинская, Горького/ Алма-Атинская",42.8612,74.6345,от агента,элитка,монолитный,2025.0,8.0,12.0,2,68.0,под самоотделку (псо),57800,0
"Бишкек, Молодая Гвардия, Фрунзе/бул. Молодой Гвардии",42.8821,74.5768,от агента,элитка,монолитный,2021.0,14.0,15.0,2,60.0,евроремонт,102000,0
"Бишкек, АЮ Grand,  ул.Анкар  1/19",42.8565,74.672,от агента,элитка,монолитный,2024.0,8.0,14.0,1,42.0,евроремонт,67000,0
"Бишкек, Ден Сяопина - Фучика",42.8799,74.5384,от собственника,индивид. планировка,кирпичный,2022.0,1.0,2.0,1,30.0,хорошее,36999,0
"Бишкек, с. Кок-Джар, мкр. Кок Жар",42.8206,74.649,от агента,элитка,монолитный,2023.0,11.0,14.0,2,62.0,евроремонт,88999,0
"Бишкек, 11 м-н",42.8177,74.6293,от собственника,104 серия,панельный,1992.0,4.0,4.0,3,58.0,евроремонт,84100,1
"Бишкек, Боталиева - Тулебердиева, Манаса-Васильева",42.9025,74.5863,от агента,элитка,кирпичный,2023.0,2.0,5.0,2,39.0,евроремонт,56900,0
"Бишкек, с. Кок-Джар",42.8132,74.648,от агента,элитка,кирпичный,2024.0,11.0,12.0,1,49.0,евроремонт,65000,0
"Бишкек, АЮ Grand,  ул. Анкара 1/31",42.8563,74.6886,от собственника,элитка,монолитный,2024.0,8.0,14.0,3,92.0,под самоотделку (псо),94500,0
"Бишкек, Кок-Жар ж/м, Куйручука 28",42.8465,74.6412,от агента,элитка,панельный,2020.0,4.0,12.0,1,49.0,евроремонт,54500,0
"Бишкек, Горького - Алма-Атинская, 7 апреля 1/1/Горького",42.8585,74.6315,от агента,элитка,монолитный,2023.0,7.0,10.0,3,75.0,под самоотделку (псо),81700,0
"Бишкек, Космос, Абая 93Б",42.8481,74.6015,от агента,элитка,монолитный,2024.0,12.0,12.0,2,66.0,евроремонт,118000,0
"Бишкек, Горького - Алма-Атинская, Анкара 3/4",42.8571,74.6398,от агента,108 серия,панельный,2025.0,4.0,10.0,1,39.0,под самоотделку (псо),49600,0
"Бишкек, Рухий Мурас ж/м, бейшеналиева",42.8569,74.6928,от агента,индивид. планировка,кирпичный,2022.0,3.0,3.0,1,38.0,евроремонт,45000,0
"Бишкек, Кок-Жар ж/м, 7 апреля 3/2/Кок-Жар",42.8513,74.6352,от агента,106 серия улучшенная,панельный,2015.0,5.0,9.0,4,100.0,евроремонт,136500,0
"Бишкек, Магистраль, Байтик Баатыра, 4Б",42.8181,74.605,от агента,индивид. планировка,монолитный,2025.0,11.0,15.0,3,108.11,евроремонт,123000,0
"Бишкек, Магистраль, Сухэ Батора/Токомбаева",42.8195,74.6155,от собственника,элитка,кирпичный,2024.0,2.0,12.0,4,154.0,евроремонт,228000,0
"Бишкек, Джал-29 м-н, Садырбаева 258а/Тыналиева",42.8306,74.5657,от агента,элитка,монолитный,2023.0,8.0,12.0,2,72.0,под самоотделку (псо),92000,0
"Бишкек, Учкун м-н, Ауэзова, 2",42.8716,74.6912,от агента,индивид. планировка,монолитный,2022.0,4.0,10.0,2,83.0,евроремонт,63000,0
"Бишкек, 11 м-н,  ул. Саякабай Каралаева 13/9",42.8229,74.6328,от агента,элитка,монолитный,2024.0,13.0,15.0,3,93.0,под самоотделку (псо),93000,0
"Бишкек, АЮ Grand, Анкара/Ауэзова",42.8555,74.69,от агента,элитка,монолитный,2026.0,16.0,16.0,1,51.0,под самоотделку (псо),44880,0
"Бишкек, Магистраль, Малдыбаева 279а",42.8248,74.5976,от агента,элитка,кирпичный,2024.0,3.0,15.0,3,120.0,под самоотделку (псо),199650,0
"Бишкек, Старый аэропорт, Ажибек Баатыра 1д",42.8398,74.5781,от агента,элитка,монолитный,2024.0,8.0,10.0,3,77.0,под самоотделку (псо),122000,0
"Бишкек, с. Новопавловка, Профсоюзная 6",42.8848,74.5105,от собственника,индивид. планировка,кирпичный,2023.0,2.0,2.0,1,42.0,евроремонт,45000,0
"Бишкек, Восточный автовокзал, Жумабека 9",42.8827,74.6266,от агента,элитка,монолитный,2017.0,2.0,9.0,3,100.0,хорошее,132000,0
"Бишкек, с. Кок-Джар, с. Кок-Джар Бейшена Егимбаева, 145/1",42.814,74.6469,от агента,элитка,монолитный,2023.0,9.0,9.0,3,95.0,под самоотделку (псо),92000,0
"Бишкек, Мадина,  ул. 7 апреля",42.8689,74.6377,от агента,элитка,монолитный,2022.0,8.0,16.0,3,99.0,под самоотделку (псо),101500,0
"Бишкек, 6 м-н",42.8239,74.6245,от агента,104 серия,панельный,1992.0,4.0,4.0,3,59.0,евроремонт,85000,1
"Бишкек, Ошский рынок, Рыскулова 110",42.8797,74.5666,от агента,элитка,монолитный,2024.0,6.0,12.0,2,56.0,под самоотделку (псо),56000,0
"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",42.8451,74.5654,от агента,элитка,монолитный,2023.0,9.0,14.0,1,42.0,хорошее,68000,0
"Бишкек, Золотой квадрат, Токтогула, 116а",42.872,74.6011,от агента,индивид. планировка,кирпичный,2018.0,4.0,13.0,5,186.0,евроремонт,280000,0
"Бишкек, 8 м-н, Жукеева-Пудовкина 87/2",42.8277,74.6124,от агента,элитка,монолитный,2016.0,13.0,15.0,4,179.0,под самоотделку (псо),304300,0
"Бишкек, Улан-2 м-н",42.8457,74.6333,от агента,106 серия улучшенная,панельный,1992.0,1.0,9.0,2,62.0,евроремонт,90000,1
"Бишкек, с. Кок-Джар, Арашан, 10а",42.8174,74.648,от агента,индивид. планировка,кирпичный,2025.0,6.0,12.0,2,82.92,евроремонт,79000,0
"Бишкек, Магистраль,  ул. Малдыбаева, 261",42.823,74.5966,от агента,элитка,монолитный,2025.0,3.0,15.0,3,103.19,под самоотделку (псо),103190,0
"Бишкек, Шлагбаум, Deng Xiaoping",42.8777,74.5616,от собственника,хрущевка,кирпичный,1960.0,2.0,3.0,2,44.0,хорошее,55000,1
"Бишкек, Ак Кеме, Джунусалиева/Ажыбек Баатыра",42.8398,74.583,от агента,элитка,монолитный,2024.0,10.0,16.0,2,66.0,под самоотделку (псо),89100,0
"Бишкек, АЮ Grand, Анкара, 20",42.8566,74.6798,от агента,индивид. планировка,кирпичный,2017.0,4.0,9.0,3,85.9,евроремонт,120000,0
"Бишкек, КНУ",42.882,74.5785,от агента,элитка,кирпичный,2022.0,15.0,16.0,2,56.0,евроремонт,94000,0
"Бишкек, с. Кок-Джар, с.Кок-Жар, ул.Конкур Осмона",42.8158,74.6486,от агента,элитка,монолитный,2023.0,3.0,12.0,2,70.0,под самоотделку (псо),82000,0
"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",42.819,74.6145,от агента,элитка,монолитный,2019.0,7.0,14.0,3,122.0,евроремонт,240000,0
"Бишкек, Московская - Уметалиева, Московская/Уметалиевв",42.8711,74.5812,от агента,индивид. планировка,кирпичный,1973.0,5.0,6.0,4,80.0,среднее,115000,1
"Бишкек, Магистраль, Магистраль/Сухэ Батора",42.8228,74.6152,от агента,элитка,монолитный,2022.0,10.0,14.0,2,78.0,евроремонт,130000,0
"Бишкек, Кок-Жар м-н",42.8506,74.6315,от агента,105 серия,панельный,1992.0,6.0,9.0,1,34.0,хорошее,54500,1
"Бишкек, Джал 15 м-н,  ул.Поваринская, мкр. Джал/мкр Джал",42.8471,74.5671,от агента,элитка,кирпичный,2025.0,14.0,16.0,2,57.0,евроремонт,79500,0
"Бишкек, Горького - Алма-Атинская,  ул. 7 Апреля (Алматинка/Горького)",42.8581,74.6338,от агента,элитка,монолитный,2025.0,9.0,14.0,1,49.2,под самоотделку (псо),58000,0
"Бишкек, Магистраль, Сухэ Батора/Токомбаева",42.8213,74.6168,от агента,элитка,кирпичный,2022.0,13.0,14.0,2,74.0,евроремонт,128000,0
"Бишкек, Магистраль, просп. Токомбаева / Жукеева-Пудовкина",42.8212,74.6122,от агента,элитка,монолитный,2023.0,12.0,12.0,1,47.0,евроремонт,67500,0
"Бишкек, Магистраль, ДУЙШЕЕВА/МОЛДОБАСАНОВА (НАПРОТИВ ШК.ГАЗПРОМ)",42.8166,74.6113,от агента,элитка,монолитный,2023.0,6.0,14.0,2,81.0,под самоотделку (псо),110000,0
"Бишкек, Магистраль, Сухе Батора/Южная Магистраль",42.8223,74.6161,от агента,элитка,монолитный,2024.0,4.0,12.0,2,77.0,под самоотделку (псо),90000,0
"Бишкек, Кок-Жар ж/м, 7 апреля/Ахунбаева",42.8419,74.6365,от агента,105 серия,кирпичный,2022.0,7.0,9.0,1,32.0,хорошее,57500,0
"Бишкек, Политех, Шота Руставели 52",42.8428,74.5837,от собственника,хрущевка,кирпичный,2022.0,1.0,4.0,1,30.0,хорошее,55000,0
"Бишкек, Московская - Уметалиева, Боконбаева-Тимирязева.",42.8679,74.5785,от агента,элитка,монолитный,2024.0,7.0,12.0,3,85.0,под самоотделку (псо),97750,0
"Бишкек, Магистраль, пр. Ч. Айтматова",42.8236,74.5858,от агента,элитка,панельный,2022.0,5.0,14.0,3,100.0,под самоотделку (псо),148000,0
"Бишкек, Физкультурный, Суванбердиева, 110",42.8475,74.6138,от агента,индивид. планировка,монолитный,2025.0,6.0,10.0,2,69.9,евроремонт,96000,0
"Бишкек, Московская - Белинка",42.8688,74.59,от агента,индивид. планировка,кирпичный,2022.0,3.0,5.0,3,69.0,евроремонт,125000,0
"Бишкек, АЮ Grand, Ауэзова, 5",42.8575,74.6878,от агента,индивид. планировка,кирпичный,2022.0,11.0,15.0,2,74.78,евроремонт,74000,0
"Бишкек, Политех",42.8426,74.5887,от агента,хрущевка,кирпичный,2022.0,1.0,4.0,1,29.0,хорошее,56000,0
"Бишкек, Нижний Токольдош",42.8685,74.6314,от агента,элитка,кирпичный,2022.0,11.0,16.0,2,80.78,не достроено,73000,0
"Бишкек, АЮ Grand,  ул. Анкара",42.8563,74.6886,от агента,элитка,кирпичный,2024.0,12.0,14.0,1,41.0,под самоотделку (псо),43500,0
"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",42.8181,74.6031,от агента,элитка,монолитный,2021.0,8.0,12.0,2,80.0,под самоотделку (псо),92000,0
"Бишкек, Магистраль, Сухэ Батора/Токомбаева",42.8195,74.6155,от агента,элитка,монолитный,2019.0,5.0,12.0,2,60.0,евроремонт,126500,0
"Бишкек, ЖД вокзал, Эркиндик бульвар, 1",42.8641,74.6073,от агента,индивид. планировка,монолитный,2022.0,10.0,13.0,2,88.9,евроремонт,160000,0
"Бишкек, Джальская больница, Бакаева/Ахунбаева",42.8419,74.575,от агента,элитка,монолитный,2016.0,11.0,12.0,1,48.0,евроремонт,72000,0
"Бишкек, Магистраль,  ул.Советская / Магистраль",42.822,74.6059,от агента,элитка,монолитный,2024.0,14.0,18.0,3,126.0,под самоотделку (псо),130000,0
"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",42.818,74.6088,от агента,элитка,монолитный,2024.0,8.0,16.0,2,73.0,под самоотделку (псо),89000,0
"Бишкек, Магистраль, Магистраль/Сухэ Батора",42.8179,74.611,от агента,элитка,монолитный,2022.0,14.0,15.0,3,102.0,евроремонт,169000,0
"Бишкек, с. Восток, Ленина пр-т, 1",42.897,74.6707,от агента,индивид. планировка,кирпичный,1969.0,5.0,5.0,3,68.4,евроремонт,78500,1
"Бишкек, Горького - Алма-Атинская, 7 апреля 1/1/Горького",42.8585,74.6315,от агента,элитка,кирпичный,2025.0,7.0,10.0,1,42.0,под самоотделку (псо),48972,0
"Бишкек, Городок строителей, Ленина 1",42.8752,74.6952,от агента,индивид. планировка,кирпичный,2022.0,4.0,5.0,2,52.0,евроремонт,73500,0
"Бишкек, Хабитат ж/м, Боталиева 148",42.9071,74.5839,от агента,индивид. планировка,кирпичный,2005.0,1.0,1.0,3,58.0,хорошее,40000,0
"Бишкек, Ипподром, Л. Толстого 126",42.8641,74.558,от агента,элитка,монолитный,2025.0,12.0,17.0,1,48.0,под самоотделку (псо),46800,0
"Бишкек, Церковь, Логвиненко",42.8858,74.5993,от собственника,108 серия,панельный,2025.0,4.0,9.0,3,89.0,под самоотделку (псо),98000,0
"Бишкек, Кудайберген",42.8784,74.5254,от агента,индивид. планировка,кирпичный,2015.0,2.0,2.0,2,60.0,хорошее,67000,0
"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",42.8566,74.6386,от агента,элитка,монолитный,2023.0,8.0,16.0,1,53.0,под самоотделку (псо),53500,0
"Бишкек, Магистраль, Токомбаева 29",42.823,74.6126,от агента,элитка,монолитный,2020.0,3.0,8.0,3,107.47,под самоотделку (псо),139711,0
"Бишкек, Средний Джал м-н, Тыналиева, 1",42.8379,74.5679,от агента,индивид. планировка,монолитный,2022.0,12.0,13.0,1,50.0,евроремонт,75000,0
"Бишкек, 11 м-н,",42.82,74.6342,от агента,элитка,монолитный,2028.0,17.0,18.0,1,48.11,не достроено,58000,0
"Бишкек, КНУ, Фрунзе 571а/Уметалиева",42.8821,74.5817,от агента,элитка,монолитный,2020.0,5.0,12.0,3,77.0,евроремонт,179500,0
"Бишкек, 11 м-н",42.8208,74.6325,от агента,элитка,кирпичный,2022.0,1.0,4.0,3,58.0,евроремонт,86000,0
"Бишкек, Магистраль, Куттубаева / Южн. Магистраль",42.8113,74.6221,от агента,элитка,монолитный,2023.0,10.0,14.0,3,96.0,под самоотделку (псо),96500,0
"Бишкек, Магистраль, пр. Ч. Айтматова",42.8238,74.5863,от собственника,элитка,панельный,1992.0,4.0,14.0,4,155.0,под самоотделку (псо),232000,1
"Бишкек, Политех, г. Бишкек, ул.Целинная 21 (район Политех)",42.8459,74.5828,от агента,элитка,кирпичный,2023.0,3.0,13.0,3,73.0,хорошее,137000,0
"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",42.8566,74.6386,от агента,элитка,монолитный,2023.0,6.0,9.0,2,53.0,евроремонт,75000,0
"Бишкек, 5 м-н",42.8319,74.6266,от агента,105 серия,панельный,1992.0,8.0,9.0,2,35.0,хорошее,64000,1
"Бишкек, АЮ Grand, мкр. Тунгуч",42.8548,74.6766,от агента,элитка,монолитный,2023.0,7.0,13.0,2,67.0,евроремонт,93000,0
"Бишкек, Магистраль, Токомбаева / Куттубаева",42.8165,74.6181,от собственника,элитка,монолитный,2023.0,6.0,18.0,2,54.8,под самоотделку (псо),79000,0
"Бишкек, Политех, Ажыбек-Баатыра 10в",42.8403,74.5822,от агента,элитка,монолитный,2018.0,7.0,12.0,1,39.0,евроремонт,76000,0
"Бишкек, VEFA, Элебаева, 63",42.8573,74.6127,от агента,индивид. планировка,кирпичный,1972.0,4.0,5.0,2,44.2,евроремонт,72500,1
"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",42.8171,74.617,от агента,элитка,монолитный,2022.0,13.0,15.0,4,130.0,под самоотделку (псо),137193,0
"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",42.8181,74.6031,от агента,элитка,монолитный,2021.0,7.0,12.0,2,80.0,под самоотделку (псо),96000,0
"Бишкек, Золотой квадрат, Панфилова 150",42.8708,74.6016,от агента,элитка,кирпичный,2022.0,14.0,16.0,2,86.0,под самоотделку (псо),146200,0
"Бишкек, Горького - Алма-Атинская, 7 апреля 1/1/Горького",42.8585,74.6315,от агента,элитка,монолитный,2023.0,10.0,10.0,1,48.0,под самоотделку (псо),60000,0
"Бишкек, Мед. академия, Абая 7а/1",42.8447,74.6035,от агента,элитка,монолитный,2015.0,3.0,12.0,3,95.0,евроремонт,136000,0
"Бишкек, Золотой квадрат, Раззакова",42.8674,74.6043,от собственника,элитка,монолитный,2023.0,9.0,13.0,1000,54.0,под самоотделку (псо),86400,0
"Бишкек, Пишпек ж/м,  ул. Льва Толстого - Крылова",42.8636,74.5442,от агента,элитка,монолитный,2024.0,5.0,14.0,2,72.24,под самоотделку (псо),70073,0
"Бишкек, Магистраль, Сухэ-Батора/Токомбаева",42.8181,74.6164,от агента,элитка,монолитный,2021.0,10.0,10.0,1,45.0,евроремонт,90000,0
"Бишкек, Магистраль, Сухэ Батора/Юж. Магистраль",42.8171,74.6106,от агента,элитка,монолитный,2025.0,13.0,15.0,4,126.0,под самоотделку (псо),139000,0
"Бишкек, Парк Панфилова/Спартак, жибек жолу понфилова",42.8786,74.602,от агента,сталинка,кирпичный,2022.0,3.0,3.0,1,36.0,евроремонт,57000,0
"Бишкек, Магистраль, просп. Мира 82а",42.8242,74.586,от агента,элитка,монолитный,2023.0,4.0,10.0,2,60.0,евроремонт,94000,0
"Бишкек, Магистраль",42.8241,74.5836,от агента,элитка,кирпичный,2014.0,4.0,9.0,4,272.3,евроремонт,353990,0
