address,lat,lon,offer_type,series,building_material,build_year,floor,total_floors,rooms,area_total,area_living,condition,usd_price
"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",42.8171,74.617,от агента,элитка,монолитный,2022.0,2.0,14.0,2,74.0,,евроремонт,121000
"Бишкек, Тунгуч м-н",42.8527,74.6846,от агента,элитка,панельный,,6.0,9.0,3,63.0,,хорошее,83500
"Бишкек, Магистраль,  ул. Токомбаева/Куттубаева",42.8167,74.6245,от агента,элитка,монолитный,2025.0,12.0,18.0,2,80.0,,под самоотделку (псо),142400
"Бишкек, Магистраль, Токомбаева/Сухэ Батора",42.8227,74.6147,от агента,элитка,монолитный,2021.0,3.0,12.0,3,139.0,,под самоотделку (псо),173000
"Бишкек, Магистраль, Сухэ Батора/Токомбаева",42.8213,74.6168,от агента,элитка,кирпичный,2022.0,12.0,14.0,1,55.0,,евроремонт,97500
"Бишкек, Горького - Алма-Атинская, Горького-7-апреля 7",42.8566,74.6386,от собственника,элитка,монолитный,,5.0,9.0,1,50.0,,евроремонт,64500
"Бишкек, Ипподром, Гагарина 139/Баха",42.8525,74.5555,от собственника,106 серия улучшенная,панельный,2019.0,9.0,9.0,3,68.0,,евроремонт,85000
"Бишкек, с. Кок-Джар, с.Кок-Жар, ул.Конкур Осмона",42.8157,74.6485,от собственника,элитка,монолитный,2023.0,3.0,12.0,1,47.0,47.0,евроремонт,72000
"Бишкек, с. Кок-Джар, мкр. Кок Жар",42.8206,74.649,от агента,элитка,кирпичный,2023.0,10.0,14.0,2,44.0,,под самоотделку (псо),54200
"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",42.8171,74.617,от агента,элитка,монолитный,2022.0,2.0,16.0,2,60.18,,под самоотделку (псо),73000
"Бишкек, Военторг, Сыдыкова, 123",42.8742,74.5943,от агента,индивид. планировка,кирпичный,2020.0,4.0,13.0,2,57.4,33.0,,103000
"Бишкек, Магистраль, просп. Айтматова / ул. Масалиева",42.8191,74.5857,от агента,элитка,монолитный,2021.0,12.0,14.0,4,154.0,,евроремонт,300000
"Бишкек, Баха, Курчатова",42.8346,74.5633,от агента,элитка,монолитный,2015.0,1.0,10.0,3,127.0,,евроремонт,145000
"Бишкек, Магистраль, Куттубаева/Южная Магистраль",42.8164,74.6223,от агента,элитка,кирпичный,2022.0,9.0,12.0,4,97.0,,евроремонт,155000
"Бишкек, 4 м-н, 4 мкр 2",42.8402,74.6233,от агента,104 серия,панельный,1969.0,1.0,4.0,2,46.0,35.0,хорошее,67300
"Бишкек, Восток-5 м-н",42.8719,74.634,от агента,индивид. планировка,кирпичный,,11.0,12.0,1,38.0,,среднее,53500
"Бишкек, 12 м-н, 12мкр дом/Каралаева",42.8147,74.6387,от агента,106 серия,панельный,1990.0,9.0,9.0,1,36.0,18.0,хорошее,68700
"Бишкек, Магистраль, Аалы Токомбаева 9/6",42.8143,74.625,от агента,элитка,монолитный,2022.0,9.0,11.0,1,49.56,,под самоотделку (псо),63000
"Бишкек, Магистраль,  ул. Куттубаева, 15",42.813,74.6193,от агента,элитка,монолитный,2023.0,11.0,12.0,3,100.177,,хорошее,82000
"Бишкек, Карпинка, Ахматбека Суюмбаева, 45а",42.8716,74.6247,от агента,индивид. планировка,монолитный,2019.0,9.0,10.0,2,86.0,52.1,,125000
"Бишкек, Юг-2 м-н",42.8587,74.6093,от агента,индивид. планировка,панельный,,2.0,4.0,2,44.2,,хорошее,68000
"Бишкек, Чуй - Алматинка, Уркуи Салиевой 140",42.8835,74.6418,от агента,элитка,монолитный,2024.0,2.0,12.0,2,61.0,40.0,под самоотделку (псо),65000
"Бишкек, Старый аэропорт, Чынгыза Айтматова пр-т, 96",42.8386,74.5827,от агента,индивид. планировка,кирпичный,2018.0,6.0,10.0,4,172.5,115.0,,490000
"Бишкек, Советская - Скрябина, Абая/Ахунбаева",42.8467,74.6022,от агента,элитка,монолитный,2022.0,6.0,16.0,2,66.0,,евроремонт,99500
"Бишкек, с. Орто-Сай,",42.8046,74.5989,от агента,элитка,кирпичный,2027.0,6.0,12.0,3,127.0,,под самоотделку (псо),152400
"Бишкек, Пишпек ж/м,  ул.Теремичкова 15",42.8613,74.5517,от агента,элитка,монолитный,2025.0,8.0,9.0,2,75.0,,под самоотделку (псо),86000
"Бишкек, Советская - Скрябина, Медерова 44/2 / Жукеева-Пудовкина",42.8516,74.6152,от агента,элитка,монолитный,2025.0,5.0,17.0,3,98.0,,хорошее,135000
"Бишкек, Филармония",42.8762,74.5891,от агента,индивид. планировка,кирпичный,,5.0,5.0,3,69.0,,хорошее,99500
"Бишкек, Парк Панфилова/Спартак, Панфилова 190/1",42.8822,74.6003,от агента,элитка,монолитный,2017.0,14.0,16.0,3,106.0,,евроремонт,167000
"Бишкек, Джал 15 м-н",42.8463,74.5671,от агента,элитка,кирпичный,,9.0,14.0,3,96.0,,среднее,125000
"Бишкек, АЮ Grand,  ул. Анкара 1/31",42.8559,74.6885,от агента,элитка,монолитный,2024.0,2.0,9.0,1,38.0,,под самоотделку (псо),46500
"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",42.8181,74.6031,от агента,элитка,монолитный,2021.0,11.0,12.0,2,80.0,,под самоотделку (псо),93000
"Бишкек, Горького - Алма-Атинская",42.8592,74.6351,от агента,элитка,кирпичный,,8.0,12.0,2,72.0,,под самоотделку (псо),82800
"Бишкек, Восток-5 м-н, армейская",42.8709,74.6315,от агента,106 серия улучшенная,панельный,,5.0,9.0,2,52.2,,хорошее,82500
"Бишкек, 3 м-н",42.8381,74.6204,от агента,104 серия,панельный,,1.0,4.0,1,32.0,,евроремонт,63500
"Бишкек, Военторг, Сыдыкова, 184",42.8735,74.5936,от агента,индивид. планировка,монолитный,2022.0,10.0,15.0,3,128.0,64.0,,239000
"Бишкек, 4 м-н",42.8377,74.6268,от агента,индивид. планировка,кирпичный,1970.0,2.0,5.0,2,56.0,,евроремонт,103500
"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",42.8181,74.6044,от агента,элитка,монолитный,2024.0,12.0,12.0,2,85.0,,под самоотделку (псо),94000
"Бишкек, Московская - Белинка/Боконбаева",42.8662,74.5894,от собственника,105 серия,панельный,1993.0,5.0,5.0,2,52.0,48.0,евроремонт,79500
"Бишкек, БГУ, Фурманова 21/1/Айни",42.848,74.5854,от собственника,элитка,кирпичный,2014.0,9.0,10.0,5,154.9,109.5,евроремонт,199000
"Бишкек, ЦУМ, Киевская/Тыныстанова",42.8741,74.6098,от агента,элитка,монолитный,2018.0,8.0,19.0,3,105.0,,евроремонт,235000
"Бишкек, Магистраль, Б. Баатыра/А. Токомбаева",42.8181,74.6031,от агента,элитка,монолитный,2021.0,6.0,12.0,1,53.0,,евроремонт,75000
"Бишкек, Свердловский район, гоголь 20",42.8701,74.6191,от собственника,105 серия,панельный,,4.0,5.0,3,65.0,65.0,евроремонт,89000
"Бишкек, Боталиева - Тулебердиева, Манаса-Васильева",42.9025,74.5863,от агента,элитка,монолитный,2023.0,3.0,5.0,1,46.0,,евроремонт,59999
"Бишкек, КНУ, Тимирязева/Жумабека",42.884,74.581,от агента,элитка,монолитный,2022.0,12.0,16.0,2,82.0,,хорошее,140000
"Бишкек, с. Кок-Джар, с. Кок-Жар, ул.Конур Осмона",42.8137,74.6485,от агента,элитка,монолитный,2024.0,11.0,12.0,1,46.0,,евроремонт,65999
"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",42.8181,74.6044,от агента,элитка,монолитный,2024.0,4.0,12.0,3,104.0,,под самоотделку (псо),125000
"Бишкек, Баха, Джал, ул. Курчатова 81",42.8397,74.5629,от собственника,элитка,монолитный,2022.0,3.0,14.0,3,100.0,,евроремонт,145000
"Бишкек, Магистраль, Б.Баатыра/А.Токомбаева",42.8212,74.6041,от агента,элитка,монолитный,,15.0,25.0,2,61.7,,под самоотделку (псо),92550
"Бишкек, Достук, Ибраимова/Жумабека",42.8829,74.6178,от агента,малосемейка,кирпичный,,3.0,6.0,1,13.0,,евроремонт,30000
"Бишкек, Джальская больница,  ул.Айни 73а/Островского",42.8487,74.574,от собственника,элитка,монолитный,2025.0,7.0,12.0,3,119.0,,под самоотделку (псо),154700
"Бишкек, Джал-29 м-н, Масалиева/Тыналиева",42.8304,74.5664,от агента,элитка,кирпичный,2017.0,14.0,14.0,2,65.0,,евроремонт,88500
"Бишкек, Советская - Скрябина, Медерова 44/2 / Жукеева-Пудовкина",42.8516,74.6152,от агента,элитка,кирпичный,2025.0,7.0,16.0,2,78.0,,под самоотделку (псо),110000
"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",42.8171,74.617,от агента,элитка,монолитный,2022.0,2.0,16.0,3,74.29,,под самоотделку (псо),92500
"Бишкек, Московская - Уметалиева, Боконбаева-Уметалиева 8",42.8674,74.5802,от агента,элитка,монолитный,2023.0,9.0,13.0,2,62.0,,евроремонт,112000
"Бишкек, Ак Кеме, Минжилкиева 117",42.836,74.5828,от агента,элитка,монолитный,2019.0,14.0,14.0,5,225.0,,под самоотделку (псо),326250
"Бишкек, Гагарина, Тимура Фрунзе/Гагарина",42.8516,74.5347,от агента,элитка,монолитный,2023.0,8.0,10.0,1,36.0,,под самоотделку (псо),45500
"Бишкек, Старый аэропорт, Ажыбек Баатыра стр. 3",42.8403,74.5795,от собственника,элитка,монолитный,2019.0,3.0,9.0,2,62.0,,евроремонт,115000
"Бишкек, 10 м-н, Саманчина/Советская",42.8329,74.6055,от агента,индивид. планировка,кирпичный,1975.0,4.0,4.0,2,43.0,30.0,среднее,68523
"Бишкек, 10 м-н",42.8314,74.6063,от агента,104 серия,панельный,,4.0,4.0,1,32.0,,хорошее,64900
"Бишкек, Городок строителей, Квартал Городок строителей, 1",42.8758,74.6914,от агента,104 серия,панельный,1989.0,5.0,5.0,3,58.0,44.0,,78500
"Бишкек, Горького - Панфилова",42.8612,74.5955,от агента,индивид. планировка,кирпичный,,2.0,5.0,2,51.0,,среднее,81500
"Бишкек, Магистраль, Куттубаева/Южн. Магистраль",42.8113,74.6221,от агента,элитка,монолитный,2023.0,9.0,10.0,2,60.0,,хорошее,86500
"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",42.8566,74.6386,от агента,элитка,монолитный,,5.0,16.0,1,27.0,,евроремонт,42515
"Бишкек, Восточный автовокзал, Салиева, 229",42.884,74.6298,от агента,106 серия,панельный,2015.0,6.0,9.0,1,45.0,23.0,,69000
"Бишкек, Магистраль, Б. Баатыра/А.Токомбаева",42.8184,74.6008,от агента,элитка,монолитный,,7.0,7.0,2,83.0,,евроремонт,139000
"Бишкек, АЮ Grand",42.8563,74.6714,от собственника,элитка,кирпичный,2023.0,1.0,14.0,2,67.0,67.0,евроремонт,95000
"Бишкек, Молодая Гвардия, Фрунзе/бул. Молодой Гвардии",42.8821,74.5768,от агента,элитка,монолитный,2021.0,10.0,16.0,2,60.8,,под самоотделку (псо),72960
"Бишкек, 12 м-н",42.8147,74.6364,от собственника,106 серия,панельный,,6.0,9.0,3,65.0,,хорошее,125000
"Бишкек, Военторг, Сагынбая манасчы, 168",42.8715,74.5945,от агента,индивид. планировка,кирпичный,2020.0,10.0,11.0,1,57.0,23.0,,82000
"Бишкек, Кулатова- Матросова, Льва Толстого 6К/Матросова",42.8636,74.6194,от агента,элитка,кирпичный,2025.0,11.0,15.0,3,77.0,,под самоотделку (псо),96000
"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",42.8181,74.6044,от агента,элитка,кирпичный,2024.0,9.0,12.0,3,104.0,65.0,под самоотделку (псо),112000
"Бишкек, Пишпек ж/м, Репина/М. Алыбаева",42.8634,74.5501,от агента,элитка,монолитный,2022.0,3.0,12.0,1,38.0,,под самоотделку (псо),45000
"Бишкек, 4 м-н 35",42.8367,74.6282,от собственника,104 серия,панельный,1970.0,3.0,4.0,2,46.0,29.0,хорошее,66500
"Бишкек, Достук м-н, Кайназарова 11/1",42.8892,74.5303,от агента,элитка,кирпичный,2024.0,1.0,5.0,1,41.0,,под самоотделку (псо),40500
"Бишкек, Старый аэропорт, Джунусалиева/Ажыбек Баатыра",42.8396,74.5806,от собственника,элитка,кирпичный,2024.0,14.0,16.0,1,56.4,,под самоотделку (псо),72190
"Бишкек, Магистраль, Куттубаева/Южная Магистраль",42.8161,74.6228,от собственника,элитка,монолитный,2025.0,12.0,12.0,3,94.0,,под самоотделку (псо),109000
"Бишкек, АЮ Grand,  ул. Анкара 1/31",42.8563,74.6886,от агента,элитка,монолитный,2024.0,12.0,14.0,1,42.0,,под самоотделку (псо),47500
"Бишкек, Советская - Скрябина, Абая/Ахунбаева",42.8467,74.6022,от агента,элитка,монолитный,2022.0,16.0,16.0,1,51.0,,евроремонт,68850
"Бишкек, ЦУМ, Абдрахманова 145/Киевская",42.8738,74.6126,от агента,индивид. планировка,монолитный,1986.0,2.0,17.0,3,72.0,,хорошее,112000
"Бишкек, АЮ Grand",42.856,74.6784,от агента,элитка,кирпичный,2026.0,5.0,10.0,3,101.0,,под самоотделку (псо),95000
"Бишкек, Сквер Тоголок Молдо, Чуйкова 132а",42.8657,74.5929,от собственника,элитка,монолитный,2019.0,9.0,10.0,3,94.0,,евроремонт,180000
"Бишкек, 11 м-н",42.8214,74.6317,от агента,элитка,монолитный,,10.0,12.0,3,109.0,,под самоотделку (псо),179850
"Бишкек, Джал-23 м-н (Нижний Джал)",42.8426,74.566,от агента,элитка,кирпичный,,3.0,10.0,4,98.0,,евроремонт,160000
"Бишкек, Старый аэропорт, Ажыбек Баатыра стр. 2/1-2",42.8403,74.5795,от агента,элитка,монолитный,2019.0,6.0,9.0,1,64.0,,под самоотделку (псо),89000
"Бишкек, Магистраль,  ул. Куттубаева, 15",42.813,74.6193,от агента,элитка,монолитный,2023.0,7.0,12.0,1,43.22,,под самоотделку (псо),46000
"Бишкек, с. Кок-Джар, мкр. Кок Жар",42.8206,74.649,от агента,элитка,монолитный,2023.0,6.0,14.0,1,39.0,,под самоотделку (псо),55000
"Бишкек, Гагарина, Тимура Фрунзе/Гагарина",42.8516,74.5347,от агента,элитка,монолитный,2023.0,9.0,10.0,2,63.0,,под самоотделку (псо),67000
"Бишкек, Асанбай м-н",42.8198,74.6238,от агента,106 серия,панельный,,5.0,9.0,3,68.0,,евроремонт,115000
"Бишкек, Молодая Гвардия, Фрунзе/бул. Молодой Гвардии",42.8821,74.5768,от собственника,элитка,монолитный,2021.0,11.0,15.0,3,63.0,,евроремонт,93000
"Бишкек, VEFA",42.8555,74.6109,от агента,элитка,кирпичный,2019.0,6.0,14.0,1,57.0,,евроремонт,89000
"Бишкек, КНУ, Фрунзе, 571",42.8828,74.5807,от агента,индивид. планировка,монолитный,2021.0,3.0,12.0,2,77.0,36.0,,142000
"Бишкек, Золотой квадрат, Московская 126/Панфилова",42.8695,74.601,от собственника,хрущевка,кирпичный,,4.0,5.0,1,31.0,,евроремонт,63000
"Бишкек, VEFA, Горького/Фатьянов",42.8566,74.6059,от агента,элитка,монолитный,2020.0,4.0,12.0,3,85.0,,евроремонт,181500
"Бишкек, 7 м-н",42.8293,74.6152,от агента,105 серия,панельный,,4.0,9.0,3,62.0,40.0,хорошее,107000
"Бишкек, 7 м-н",42.8274,74.6209,от агента,105 серия,кирпичный,,3.0,5.0,3,62.0,,хорошее,96000
"Бишкек, Карпинка, Суюмбаева 123/1/Пр. Чуй",42.8761,74.6238,от агента,элитка,монолитный,2021.0,4.0,14.0,3,107.0,,под самоотделку (псо),126000
"Бишкек, Дворец спорта, Насирдина Исанова, 102",42.8784,74.592,от агента,индивид. планировка,кирпичный,2019.0,12.0,12.0,4,183.6,69.3,,173000
"Бишкек, Ипподром, Л. Толстого 126/8",42.8645,74.5562,от агента,элитка,монолитный,2017.0,5.0,10.0,2,65.63,,под самоотделку (псо),62400
"Бишкек, Магистраль, Аалы Токомбаева 21/4/Куттубаева",42.8171,74.617,от агента,элитка,монолитный,2022.0,16.0,18.0,3,73.0,,под самоотделку (псо),78000
"Бишкек, с. Кок-Джар 10",42.8171,74.649,от собственника,элитка,монолитный,2024.0,4.0,12.0,1,58.0,20.0,под самоотделку (псо),54000
"Бишкек, 12 м-н",42.8144,74.6369,от агента,106 серия,панельный,,8.0,9.0,3,80.0,,евроремонт,127000
"Бишкек, Гагарина,  ул.Космическая 96",42.8469,74.5576,от агента,элитка,монолитный,2025.0,10.0,10.0,2,67.44,,под самоотделку (псо),61000
"Бишкек, Магистраль, Токомбаева 19/1/Сухэ_Батора",42.8165,74.6205,от агента,элитка,монолитный,2017.0,9.0,10.0,4,132.0,,евроремонт,213000
"Бишкек, 7 м-н, Сухэ-Батора/А. Токомбаева",42.8242,74.6177,от собственника,элитка,кирпичный,2022.0,5.0,12.0,3,137.0,,хорошее,160000
"Бишкек, Лебединовка",42.8794,74.6575,от агента,105 серия,кирпичный,,3.0,5.0,3,62.0,,хорошее,85000
"Бишкек, АЮ Grand,  ул.Анкар  1/19",42.8565,74.672,от агента,элитка,монолитный,2024.0,3.0,14.0,3,85.0,,евроремонт,131500
"Бишкек, Баха, Курчатова",42.8403,74.5624,от агента,элитка,кирпичный,2027.0,13.0,15.0,1,51.0,,под самоотделку (псо),43350
"Бишкек, 7 м-н, Юнусалиева 173/2",42.8277,74.6213,от агента,элитка,монолитный,2015.0,2.0,10.0,2,88.0,,евроремонт,137000
"Бишкек, Чуй - Алматинка",42.8755,74.6289,от собственника,малосемейка,кирпичный,,2.0,5.0,1,18.0,,хорошее,29500
"Бишкек, 12 м-н, 12 мкр-н",42.8113,74.6371,от агента,элитка,монолитный,,9.0,10.0,2,60.0,50.0,евроремонт,93500
"Бишкек, Кожзавод",42.9288,74.6185,от агента,индивид. планировка,панельный,,2.0,3.0,1,37.0,,среднее,47000
"Бишкек, Золотой квадрат, Панфилова, 165",42.8688,74.6008,от агента,индивид. планировка,кирпичный,2024.0,8.0,10.0,2,73.57,38.0,,125000
"Бишкек, с. Кок-Джар, мкр. Кок Жар",42.8206,74.649,от агента,элитка,монолитный,2023.0,5.0,14.0,2,52.18,,под самоотделку (псо),55000
"Бишкек, Джал-29 м-н, Тыналиева 9/1",42.8314,74.5684,от агента,элитка,монолитный,2021.0,10.0,12.0,1,49.0,,хорошее,75000
"Бишкек, 7 м-н, 7 мкр., ул. Юнусалиева",42.829,74.6218,от агента,элитка,монолитный,2022.0,15.0,15.0,2,122.0,,под самоотделку (псо),208800
"Бишкек, Магистраль, Байтик Баатыра/Токомбаева",42.818,74.6088,от агента,элитка,монолитный,2024.0,4.0,16.0,3,137.0,,под самоотделку (псо),126500
"Бишкек, с. Кок-Джар, Конур осмон 6/1",42.813,74.6485,от собственника,элитка,монолитный,,12.0,12.0,2,66.4,,под самоотделку (псо),73000
"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",42.8566,74.6386,от агента,108 серия,монолитный,2023.0,7.0,9.0,1,54.0,,под самоотделку (псо),62000
"Бишкек, Горького - Алма-Атинская, 7 апреля 1/1/Горького",42.8585,74.6315,от агента,элитка,монолитный,,10.0,10.0,1,48.59,,под самоотделку (псо),57000
"Бишкек, Магистраль",42.8147,74.6253,от агента,элитка,монолитный,,10.0,14.0,2,54.0,,евроремонт,88500
"Бишкек, Моссовет, Усенбаева 58 (МосСовет) 58",42.8706,74.6128,от агента,элитка,монолитный,2024.0,5.0,10.0,3,104.0,80.0,под самоотделку (псо),163000
"Бишкек, Филармония, Абдумомунова 290",42.8802,74.5898,от агента,элитка,кирпичный,2023.0,5.0,14.0,3,96.0,,под самоотделку (псо),165000
"Бишкек, Советская - Скрябина, Медерова 44/2 / Жукеева-Пудовкина",42.8516,74.6152,от агента,элитка,монолитный,2025.0,13.0,17.0,2,78.0,,под самоотделку (псо),97500
"Бишкек, Политех",42.8435,74.5859,от агента,хрущевка,кирпичный,,3.0,4.0,1,29.0,,хорошее,46500
"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",42.8566,74.6386,от собственника,106 серия улучшенная,монолитный,2023.0,6.0,9.0,1,26.0,,евроремонт,45000
"Бишкек, Горького - Алма-Атинская,  ул. 7-Апреля, 155в/ул. Горького",42.8578,74.6397,от агента,106 серия улучшенная,монолитный,2024.0,2.0,9.0,3,83.0,,под самоотделку (псо),79000
"Бишкек, Пишпек ж/м,  ул. Льва Толстого - Крылова",42.8636,74.5442,от агента,хрущевка,монолитный,2024.0,4.0,14.0,3,83.0,,под самоотделку (псо),76000
"Бишкек, Гагарина, Дагестанская 5",42.8491,74.5498,от агента,элитка,кирпичный,2025.0,6.0,9.0,1,42.0,,евроремонт,55500
"Бишкек, с. Кок-Джар, Алма-Aтинская/Токомбаева",42.8163,74.6486,от агента,элитка,монолитный,2020.0,8.0,9.0,2,68.0,,евроремонт,90000
"Бишкек, Магистраль,  ул. Токомбаева/Куттубаева",42.8145,74.6228,от собственника,элитка,монолитный,2025.0,9.0,10.0,2,80.0,,под самоотделку (псо),140000
"Бишкек, 10 м-н",42.8296,74.6063,от агента,индивид. планировка,кирпичный,,9.0,9.0,3,76.0,,хорошее,120000
"Бишкек, Улан-2 м-н, Улан-2 микрорайон, 2",42.8454,74.6346,от агента,105 серия,панельный,2016.0,8.0,9.0,2,52.0,34.0,,67000
"Бишкек, Магистраль, Куттубаева/Южная Магистраль",42.8161,74.6228,от агента,элитка,монолитный,2022.0,4.0,9.0,1,41.0,,евроремонт,66500
"Бишкек, Космос, Абая 93/1",42.8485,74.6003,от агента,элитка,монолитный,2023.0,3.0,12.0,3,93.88,,под самоотделку (псо),112656
"Бишкек, Ак-Ордо ж/м, Чолпон, 6",42.8506,74.5104,от агента,малосемейка,монолитный,2023.0,1.0,2.0,1,21.8,14.0,,32000
"Бишкек, Горького - Алма-Атинская",42.8553,74.6339,от агента,элитка,кирпичный,2025.0,2.0,12.0,1,41.0,,под самоотделку (псо),44500
"Бишкек, Молодая Гвардия, Молодая Гвардия 41/Киевская",42.8755,74.5762,от собственника,индивид. планировка,кирпичный,1972.0,2.0,5.0,1,32.9,18.2,хорошее,65000
"Бишкек, 5 м-н, Каралаева (Набережная) 40/4",42.8318,74.6319,от агента,элитка,монолитный,2017.0,9.0,12.0,1,42.0,,евроремонт,76000
"Бишкек, 10 м-н",42.831,74.6066,от собственника,104 серия,панельный,,1.0,4.0,3,58.0,,хорошее,87000
"Бишкек, 5 м-н",42.8354,74.6228,от агента,104 серия,кирпичный,,3.0,4.0,3,58.0,,евроремонт,95000
"Бишкек, с. Кок-Джар, мкр. Кок Жар",42.8206,74.649,от агента,элитка,монолитный,,10.0,14.0,2,53.0,,под самоотделку (псо),59000
"Бишкек, 9 м-н",42.8359,74.6041,от агента,104 серия,панельный,,3.0,4.0,2,43.0,30.0,хорошее,73000
"Бишкек, Юбилейка, Льва Толстого/Тыныстанова",42.8615,74.6073,от агента,элитка,панельный,2020.0,11.0,16.0,3,95.0,,евроремонт,119000
"Бишкек, Чуй - Алматинка, Уркуи Салиевой 140",42.8835,74.6418,от агента,элитка,монолитный,2024.0,10.0,12.0,1,40.0,,под самоотделку (псо),42000
"Бишкек, Джал 15 м-н, Ахунбаева/Тыналиева",42.8451,74.5654,от агента,элитка,монолитный,2023.0,10.0,14.0,3,95.0,,евроремонт,144500
"Бишкек, Нижний Токольдош, Восток-5 по ул. Кийизбаева 54",42.8695,74.6306,от агента,элитка,кирпичный,2023.0,10.0,12.0,3,69.0,,под самоотделку (псо),73500
"Бишкек, 8 м-н, 8-й микрорайон, 30а",42.8314,74.6082,от агента,104 серия,кирпичный,1980.0,5.0,5.0,1,32.0,18.0,,60000
"Бишкек, Кок-Жар ж/м",42.8496,74.6396,от агента,элитка,кирпичный,,8.0,12.0,2,73.0,,евроремонт,92000
"Бишкек, ЦУМ, Киевская/Тыныстанова",42.8743,74.6097,от собственника,элитка,кирпичный,2018.0,19.0,19.0,2,70.0,,евроремонт,174500
"Бишкек, Магистраль, Арстанбека Дуйшеева, 6",42.8199,74.6157,от агента,индивид. планировка,кирпичный,2020.0,7.0,12.0,3,132.0,70.0,,263000
"Бишкек, Ак Кеме, ул. Джунусалиева / ул. Ажыбек Баатыра",42.8398,74.583,от агента,элитка,монолитный,,16.0,16.0,1,56.9,,под самоотделку (псо),77000
"Бишкек, Баха, гагарина",42.8419,74.5587,от агента,индивид. планировка,кирпичный,,3.0,9.0,2,57.0,,евроремонт,78000
"Бишкек, с. Кок-Джар, Арашан, 10а",42.8174,74.648,от агента,индивид. планировка,кирпичный,2025.0,7.0,12.0,2,78.22,35.72,,74500
"Бишкек, АЮ Grand,  ул. Анкара 1/31",42.8563,74.6886,от агента,элитка,кирпичный,2024.0,14.0,14.0,1,41.0,,под самоотделку (псо),47500
"Бишкек, Магистраль, Токомбаева-Сухэ-батора",42.8191,74.6129,от агента,элитка,монолитный,2024.0,4.0,18.0,3,123.0,,под самоотделку (псо),174660
"Бишкек, Баха, Джал, ул. Курчатова 81",42.8395,74.5629,от агента,элитка,монолитный,2022.0,7.0,14.0,1,47.0,,евроремонт,76500
"Бишкек, Госрегистр, пр. Чингиза Айтматова 4",42.8626,74.5883,от агента,элитка,монолитный,2019.0,6.0,12.0,1,37.5,,евроремонт,72500
"Бишкек, Военторг, Сыдыкова",42.8734,74.5925,от агента,элитка,кирпичный,,9.0,9.0,3,136.0,,евроремонт,210000
"Бишкек, Джальская больница,  ул. Айни 84",42.8484,74.5734,от агента,элитка,монолитный,2025.0,8.0,12.0,2,84.0,,под самоотделку (псо),103500
"Бишкек, Горького - Алма-Атинская, Горького-7-апреля",42.8566,74.6386,от агента,элитка,монолитный,2023.0,3.0,9.0,1,40.0,,под самоотделку (псо),51000
"Бишкек, Лебединовка",42.8804,74.6573,от агента,индивид. планировка,кирпичный,,5.0,5.0,3,75.0,,хорошее,80000
"Бишкек, 6 м-н, Сухэ-Батора-Юнусалиева",42.8262,74.6235,от агента,элитка,монолитный,2022.0,8.0,12.0,3,77.0,,под самоотделку (псо),125500
"Бишкек, Лебединовка, Ивана Мичурина, 11А",42.8795,74.6944,от агента,индивид. планировка,монолитный,2020.0,5.0,5.0,4,118.3,91.0,,159000
"Бишкек, Центральная мечеть",42.8664,74.6191,от агента,104 серия,панельный,,4.0,5.0,2,43.0,30.0,среднее,71500
"Бишкек, Джальская больница",42.8411,74.5763,от агента,элитка,кирпичный,,2.0,6.0,2,71.0,,евроремонт,91000
"Бишкек, Магистраль, ​Байтик Баатыра 4Б/3/Южная Магистраль",42.8181,74.6044,от агента,элитка,монолитный,2024.0,11.0,14.0,3,104.0,,под самоотделку (псо),117250
"Бишкек, 7 м-н, Юнусалиев 17/1/Сухе Батора",42.828,74.6184,от собственника,элитка,кирпичный,2025.0,6.0,10.0,3,95.0,,под самоотделку (псо),143000
"Бишкек, Джал-23 м-н (Нижний Джал) 70/1",42.8419,74.5631,от собственника,106 серия,панельный,,8.0,9.0,1,42.0,,хорошее,63000
"Бишкек, Джальская больница, тыналиева 2/21",42.8453,74.5688,от агента,элитка,монолитный,,10.0,14.0,2,68.0,,евроремонт,130000
"Бишкек, Карпинка",42.8782,74.6224,от собственника,104 серия,панельный,,5.0,5.0,3,59.0,58.0,евроремонт,92000
"Бишкек, Военторг, Сыдыкова 123/Тоголок Молдо",42.8743,74.5942,от агента,элитка,монолитный,2018.0,13.0,13.0,1,50.0,,евроремонт,80000
"Бишкек, Асанбай м-н, Куттубаева / Южная магистраль",42.8164,74.629,от агента,элитка,монолитный,2022.0,10.0,14.0,2,54.0,,евроремонт,87000
"Бишкек, Военторг 125",42.8716,74.5944,от собственника,элитка,монолитный,,3.0,11.0,2,52.4,,под самоотделку (псо),80000
